cik,years_present,years_present_count,year_2016_present,year_2017_present,year_2018_present,year_2019_present,year_2020_present,year_2021_present,year_2022_present,year_2023_present,year_2024_present,year_2025_present
0001854480,"2022,2023,2024",3,False,False,False,False,False,False,True,True,True,False
0001854583,2024,1,False,False,False,False,False,False,False,False,True,False
0001854863,2022,1,False,False,False,False,False,False,True,False,False,False
0001854963,"2023,2025",2,False,False,False,False,False,False,False,True,False,True
0001855168,2022,1,False,False,False,False,False,False,True,False,False,False
0001855351,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001855447,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001855457,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001855467,"2022,2023,2024",3,False,False,False,False,False,False,True,True,True,False
0001855474,2025,1,False,False,False,False,False,False,False,False,False,True
0001855485,2022,1,False,False,False,False,False,False,True,False,False,False
0001855631,"2022,2023,2024",3,False,False,False,False,False,False,True,True,True,False
0001855644,"2022,2024,2025",3,False,False,False,False,False,False,True,False,True,True
0001855747,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001855751,2022,1,False,False,False,False,False,False,True,False,False,False
0001855781,2025,1,False,False,False,False,False,False,False,False,False,True
0001856028,2024,1,False,False,False,False,False,False,False,False,True,False
0001856031,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0001856242,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001856314,2025,1,False,False,False,False,False,False,False,False,False,True
0001856430,2024,1,False,False,False,False,False,False,False,False,True,False
0001856437,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0001856485,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001856519,2022,1,False,False,False,False,False,False,True,False,False,False
0001856525,2025,1,False,False,False,False,False,False,False,False,False,True
0001856608,2024,1,False,False,False,False,False,False,False,False,True,False
0001856689,2022,1,False,False,False,False,False,False,True,False,False,False
0001856696,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001856725,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
