cik,name,name_clean,ticker,gvkey,sic,name_source
0000026172,CUMMINS INC,cummins,CMI,3650,3510.0,crosswalk
0000026324,CURTISS-WRIGHT CORP,curtisswright,CW,3662,3728.0,crosswalk
0000026780,DANA INC,dana,DAN,3734,3714.0,crosswalk
0000027093,U.S. GOLD CORP,us gold,DRAM,32014,1000.0,crosswalk
0000027419,TARGET CORP,target,TGT,3813,5331.0,crosswalk
0000027430,DAYTON POWER & LIGHT INC,dayton power light,,12612,4931.0,crosswalk
0000027673,DEERE (JOHN) CAPITAL CORP,deere john capital,,3836,6153.0,crosswalk
0000027879,DELMARVA POWER & LIGHT CO,delmarva power light,,114789,4911.0,crosswalk
0000027904,DELTA AIR LINES INC,delta air lines,DAL,3851,4512.0,crosswalk
0000027996,DELUXE CORP,deluxe,DLX,3863,2780.0,crosswalk
0000028385,DETROIT EDISON CO,detroit edison,,65089,4911.0,crosswalk
0000028412,COMERICA INC,comerica,CMA,3231,6020.0,crosswalk
0000028823,DIEBOLD NIXDORF INC,diebold nixdorf,DBD,3946,3578.0,crosswalk
0000028917,DILLARDS INC  -CL A,dillards inc cl a,DDS,3964,5311.0,crosswalk
0000029002,DIODES INC,diodes,DIOD,3969,3674.0,crosswalk
0000029332,DIXIE GROUP INC,dixie,DXYN,4001,2273.0,crosswalk
0000029534,DOLLAR GENERAL CORP,dollar general,DG,4016,5331.0,crosswalk
0000029644,DONALDSON CO INC,donaldson,DCI,4036,3714.0,crosswalk
0000029905,DOVER CORP,dover,DOV,4058,3559.0,crosswalk
0000029915,Dow Chemical Co,dow chemical,DOW,,2821.0,ticker_map
0000029989,OMNICOM GROUP INC,omnicom,OMC,4066,7311.0,crosswalk
0000030305,DUCOMMUN INC,ducommun,DCO,4091,3728.0,crosswalk
0000030371,DUKE ENERGY CAROLINAS LLC,duke energy carolinas,DUK,180942,4911.0,crosswalk
0000030554,DU PONT (E I) DE NEMOURS,du pont e i de nemours,DD,4087,2820.0,crosswalk
0000030625,FLOWSERVE CORP,flowserve,FLS,4108,3561.0,crosswalk
0000030697,WENDY'S CO,wendys,WEN,3708,5812.0,crosswalk
0000031107,EASTERN CO,eastern,EML,4186,3420.0,crosswalk
0000031235,EASTMAN KODAK CO,eastman kodak,KODK,4194,3861.0,crosswalk
0000031462,ECOLAB INC,ecolab,ECL,4213,2842.0,crosswalk
0000031667,EDUCATIONAL DEVELOPMENT CORP,educational development,EDUC,4225,5190.0,crosswalk
0000031791,REVVITY INC,revvity,PKI,4145,3826.0,crosswalk
0000032604,EMERSON ELECTRIC CO,emerson electric,EMR,4321,3823.0,crosswalk
0000032621,EMERSON RADIO CORP,emerson radio,MSN,4322,3651.0,crosswalk
0000033002,ENNIS INC,ennis,EBF,4390,2761.0,crosswalk
0000033185,EQUIFAX INC,equifax,EFX,4423,7323.0,crosswalk
