cik,year,form,filename,path
1086222,2022,10-K,20220228_10-K_edgar_data_1086222_0001086222-22-000058.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220228_10-K_edgar_data_1086222_0001086222-22-000058.txt
1086222,2023,10-K,20230228_10-K_edgar_data_1086222_0001086222-23-000078.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230228_10-K_edgar_data_1086222_0001086222-23-000078.txt
1086222,2024,10-K,20240228_10-K_edgar_data_1086222_0001086222-24-000040.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR1/20240228_10-K_edgar_data_1086222_0001086222-24-000040.txt
1091748,2021,10-K,20210315_10-K_edgar_data_1091748_0001628280-21-004668.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210315_10-K_edgar_data_1091748_0001628280-21-004668.txt
1091748,2022,10-K,20220316_10-K_edgar_data_1091748_0001628280-22-006331.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220316_10-K_edgar_data_1091748_0001628280-22-006331.txt
1091748,2023,10-K,20230306_10-K_edgar_data_1091748_0001628280-23-006451.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230306_10-K_edgar_data_1091748_0001628280-23-006451.txt
1091748,2024,10-K,20240319_10-K_edgar_data_1091748_0001628280-24-011791.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR1/20240319_10-K_edgar_data_1091748_0001628280-24-011791.txt
109177,2021,10-K,20211123_10-K_edgar_data_109177_0000109177-21-000058.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR4/20211123_10-K_edgar_data_109177_0000109177-21-000058.txt
109177,2022,10-K,20221122_10-K_edgar_data_109177_0000109177-22-000034.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR4/20221122_10-K_edgar_data_109177_0000109177-22-000034.txt
109177,2023,10-K,20231121_10-K_edgar_data_109177_0000109177-23-000054.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR4/20231121_10-K_edgar_data_109177_0000109177-23-000054.txt
109177,2024,10-K,20241115_10-K_edgar_data_109177_0000109177-24-000047.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR4/20241115_10-K_edgar_data_109177_0000109177-24-000047.txt
1100682,2021,10-K,20210217_10-K_edgar_data_1100682_0001100682-21-000005.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210217_10-K_edgar_data_1100682_0001100682-21-000005.txt
1100682,2022,10-K,20220216_10-K_edgar_data_1100682_0001100682-22-000007.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220216_10-K_edgar_data_1100682_0001100682-22-000007.txt
1100682,2023,10-K,20230222_10-K_edgar_data_1100682_0001100682-23-000006.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230222_10-K_edgar_data_1100682_0001100682-23-000006.txt
1100682,2024,10-K,20240214_10-K_edgar_data_1100682_0001100682-24-000007.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR1/20240214_10-K_edgar_data_1100682_0001100682-24-000007.txt
1117480,2021,10-K,20210225_10-K_edgar_data_1117480_0001117480-21-000006.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210225_10-K_edgar_data_1117480_0001117480-21-000006.txt
