cik,name,alias,alias_clean,alias_source
0000912544,NovelStem International Corp.,HOLLYWOOD COM INC,hollywood com,input_alias
0000912544,NovelStem International Corp.,HOLLYWOOD MEDIA CORP,hollywood media,input_alias
0000912562,"GIBRALTAR INDUSTRIES, INC.",GIBRALTAR STEEL CORP,gibraltar steel,input_alias
0000912728,FORWARD AIR CORP,LANDAIR SERVICES INC,landair services,input_alias
0000912752,"Sinclair Broadcast Group, LLC",SINCLAIR BROADCAST GROUP INC,sinclair broadcast,input_alias
0000912766,"LAUREATE EDUCATION, INC.",SYLVAN LEARNING SYSTEMS INC,sylvan learning systems,input_alias
0000912767,UFP INDUSTRIES INC,UNIVERSAL FOREST PRODUCTS INC,universal forest products,input_alias
0000913142,BELDEN INC.,BELDEN CDT INC.,belden cdt,input_alias
0000913142,BELDEN INC.,CABLE DESIGN TECHNOLOGIES CORP,cable design technologies,input_alias
0000913241,"STEVEN MADDEN, LTD.",MADDEN STEVEN LTD,madden steven,input_alias
0000913277,Clarus Corp,"Black Diamond, Inc.",black diamond,input_alias
0000913277,Clarus Corp,SQL FINANCIALS INTERNATIONAL INC /DE/,sql financials international inc de,input_alias
0000913760,StoneX Group Inc.,INTERNATIONAL ASSETS HOLDING CORP,international assets,input_alias
0000913760,StoneX Group Inc.,INTL FCSTONE INC.,intl fcstone,input_alias
0000914122,"Perma-Pipe International Holdings, Inc.",MFRI INC,mfri,input_alias
0000914122,"Perma-Pipe International Holdings, Inc.",MIDWESCO FILTER RESOURCES INC,midwesco filter resources,input_alias
0000914208,Invesco Ltd.,Invesco Asset Management Deutschland GMBH,invesco asset management deutschland gmbh,input_alias
0000914748,EVEREST REINSURANCE HOLDINGS INC,PRUDENTIAL REINSURANCE HOLDINGS INC,prudential reinsurance,input_alias
0000915912,AVALONBAY COMMUNITIES INC,AVALON BAY COMMUNITIES INC,avalon bay communities,input_alias
0000915912,AVALONBAY COMMUNITIES INC,BAY APARTMENT COMMUNITIES INC,bay apartment communities,input_alias
0000915913,ALBEMARLE CORP,ECHEM INC,echem,input_alias
0000916540,DARLING INGREDIENTS INC.,DARLING INTERNATIONAL INC,darling international,input_alias
0000917225,SOLITARIO RESOURCES CORP.,SOLITARIO EXPLORATION & ROYALTY CORP.,solitario exploration royalty,input_alias
