cik,years_present,annual_filing_count,year_2021_present,year_2022_present,year_2023_present,year_2024_present,years_present_count
0000030697,"2021,2022,2023,2024",4,True,True,True,True,4
0000031107,"2021,2022,2023,2024",4,True,True,True,True,4
0000031235,"2021,2022,2023,2024",5,True,True,True,True,4
0000031462,"2021,2022,2023,2024",4,True,True,True,True,4
0000031667,"2021,2022,2023,2024",4,True,True,True,True,4
0000031791,"2021,2022,2023,2024",4,True,True,True,True,4
0000032567,2021,1,True,False,False,False,1
0000032604,"2021,2022,2023,2024",4,True,True,True,True,4
0000032621,"2021,2022,2023,2024",7,True,True,True,True,4
0000033002,"2021,2022,2023,2024",4,True,True,True,True,4
0000033185,"2021,2022,2023,2024",4,True,True,True,True,4
0000033213,"2021,2022,2023,2024",4,True,True,True,True,4
0000033488,"2021,2022,2023,2024",6,True,True,True,True,4
0000033533,"2021,2022,2023,2024",4,True,True,True,True,4
0000033992,"2021,2022,2023,2024",4,True,True,True,True,4
0000034067,"2021,2022,2023,2024",4,True,True,True,True,4
0000034088,"2021,2022,2023,2024",4,True,True,True,True,4
0000034285,"2021,2022,2023,2024",4,True,True,True,True,4
0000034563,"2021,2022,2023,2024",7,True,True,True,True,4
0000034782,"2021,2022,2023,2024",4,True,True,True,True,4
0000034903,"2021,2022,2023,2024",4,True,True,True,True,4
0000034956,"2021,2022,2023,2024",5,True,True,True,True,4
0000035214,"2021,2022",3,True,True,False,False,2
0000035527,"2021,2022,2023,2024",4,True,True,True,True,4
0000036029,"2021,2022,2023,2024",4,True,True,True,True,4
0000036047,2021,2,True,False,False,False,1
0000036104,"2021,2022,2023,2024",4,True,True,True,True,4
0000036146,"2021,2022,2023,2024",4,True,True,True,True,4
0000036270,"2021,2022,2023,2024",4,True,True,True,True,4
0000036377,"2021,2022,2023,2024",4,True,True,True,True,4
0000036506,2021,1,True,False,False,False,1
0000036840,"2021,2022,2023,2024",4,True,True,True,True,4
0000036966,"2021,2022,2023,2024",5,True,True,True,True,4
0000037472,"2021,2022,2023,2024",4,True,True,True,True,4
0000037634,"2021,2022,2023,2024",4,True,True,True,True,4
0000037637,"2021,2022,2023,2024",8,True,True,True,True,4
0000037785,"2021,2022,2023,2024",4,True,True,True,True,4
0000037808,"2021,2022,2023,2024",4,True,True,True,True,4
0000037996,"2021,2022,2023,2024",4,True,True,True,True,4
0000038009,"2021,2022,2023,2024",4,True,True,True,True,4
0000038264,"2021,2022,2023,2024",4,True,True,True,True,4
0000038723,"2021,2022,2023,2024",4,True,True,True,True,4
0000038725,"2021,2022,2023,2024",4,True,True,True,True,4
0000038777,"2021,2022,2023,2024",4,True,True,True,True,4
0000039020,"2021,2022,2023,2024",5,True,True,True,True,4
0000039092,"2021,2022,2023,2024",4,True,True,True,True,4
0000039263,"2021,2022,2023,2024",4,True,True,True,True,4
0000039311,"2021,2022,2023,2024",4,True,True,True,True,4
0000039368,"2021,2022,2023,2024",5,True,True,True,True,4
0000039899,"2021,2022,2023,2024",6,True,True,True,True,4
0000039911,"2021,2022,2023,2024",4,True,True,True,True,4
0000040211,"2021,2022,2023,2024",6,True,True,True,True,4
0000040533,"2021,2022,2023,2024",4,True,True,True,True,4
0000040545,"2021,2022,2023,2024",4,True,True,True,True,4
0000040570,"2021,2022,2023,2024",4,True,True,True,True,4
0000040704,"2021,2022,2023,2024",4,True,True,True,True,4
0000040729,"2021,2022,2023,2024",4,True,True,True,True,4
0000040888,"2021,2022,2023",6,True,True,True,False,3
0000040987,"2021,2022,2023,2024",4,True,True,True,True,4
0000041091,"2021,2022,2023,2024",4,True,True,True,True,4
0000041719,"2021,2022,2023,2024",4,True,True,True,True,4
0000042582,"2021,2022,2023,2024",4,True,True,True,True,4
0000042682,"2021,2022,2023,2024",4,True,True,True,True,4
0000042888,"2021,2022,2023,2024",4,True,True,True,True,4
0000043196,"2021,2022,2023,2024",4,True,True,True,True,4
0000043920,"2021,2022,2023,2024",4,True,True,True,True,4
0000045012,"2021,2022,2023,2024",4,True,True,True,True,4
0000045876,"2021,2022,2023,2024",4,True,True,True,True,4
0000045919,"2021,2022,2023,2024",5,True,True,True,True,4
0000046080,"2021,2022,2023,2024",4,True,True,True,True,4
0000046129,"2021,2022,2023,2024",4,True,True,True,True,4
0000046195,"2021,2022,2023,2024",5,True,True,True,True,4
0000046207,"2021,2022,2023,2024",4,True,True,True,True,4
0000046250,"2021,2022,2023,2024",4,True,True,True,True,4
0000046619,"2021,2022,2023,2024",4,True,True,True,True,4
0000046765,"2021,2022,2023,2024",4,True,True,True,True,4
0000047111,"2021,2022,2023,2024",4,True,True,True,True,4
0000047129,"2021,2022,2023,2024",4,True,True,True,True,4
0000047217,"2021,2022,2023,2024",5,True,True,True,True,4
0000047307,"2021,2022,2023,2024",4,True,True,True,True,4
0000047518,2021,2,True,False,False,False,1
0000048039,"2021,2022",3,True,True,False,False,2
0000048287,"2021,2022,2023,2024",4,True,True,True,True,4
0000048465,"2021,2022,2023,2024",4,True,True,True,True,4
0000048732,"2021,2022,2023,2024",4,True,True,True,True,4
0000048898,"2021,2022,2023,2024",4,True,True,True,True,4
0000049071,"2021,2022,2023,2024",4,True,True,True,True,4
0000049196,"2021,2022,2023,2024",4,True,True,True,True,4
0000049600,"2021,2022,2023,2024",4,True,True,True,True,4
0000049648,"2021,2022,2023,2024",4,True,True,True,True,4
0000049754,"2021,2022,2023,2024",4,True,True,True,True,4
0000049826,"2021,2022,2023,2024",4,True,True,True,True,4
0000049938,"2021,2022,2023,2024",4,True,True,True,True,4
0000050172,"2021,2022,2023,2024",4,True,True,True,True,4
0000050292,"2023,2024",4,False,False,True,True,2
0000050471,"2021,2022,2023,2024",4,True,True,True,True,4
0000050493,"2021,2022,2023,2024",4,True,True,True,True,4
0000050725,"2021,2022,2023,2024",4,True,True,True,True,4
0000050863,"2021,2022,2023,2024",4,True,True,True,True,4
0000051011,2021,1,True,False,False,False,1
0000051143,"2021,2022,2023,2024",4,True,True,True,True,4
0000051253,"2021,2022,2023,2024",4,True,True,True,True,4
0000051434,"2021,2022,2023,2024",4,True,True,True,True,4
0000051644,"2021,2022,2023,2024",4,True,True,True,True,4
0000052428,"2021,2022,2023,2024",4,True,True,True,True,4
0000052485,"2021,2022,2023,2024",4,True,True,True,True,4
0000052827,"2021,2022,2023,2024",4,True,True,True,True,4
0000052988,"2021,2022,2023,2024",4,True,True,True,True,4
0000054187,"2021,2022,2023,2024",4,True,True,True,True,4
0000054381,"2021,2022,2023,2024",5,True,True,True,True,4
0000054476,"2021,2022,2023,2024",4,True,True,True,True,4
0000054480,"2021,2022,2023",5,True,True,True,False,3
0000054507,"2021,2022,2023,2024",4,True,True,True,True,4
0000055067,"2021,2022,2023,2024",4,True,True,True,True,4
0000055135,"2021,2022,2023,2024",4,True,True,True,True,4
0000055234,"2021,2022,2023,2024",6,True,True,True,True,4
0000055242,"2021,2022,2023,2024",4,True,True,True,True,4
0000055387,"2021,2022,2023,2024",4,True,True,True,True,4
0000055529,"2021,2022,2023,2024",4,True,True,True,True,4
0000055772,"2021,2022",2,True,True,False,False,2
0000055785,"2021,2022,2023,2024",4,True,True,True,True,4
0000056047,"2021,2022,2023,2024",4,True,True,True,True,4
0000056679,"2021,2022,2023,2024",4,True,True,True,True,4
0000056701,"2021,2022,2023,2024",4,True,True,True,True,4
0000056868,"2021,2022,2023,2024",5,True,True,True,True,4
0000056873,"2021,2022,2023,2024",4,True,True,True,True,4
0000056978,"2021,2022,2023,2024",5,True,True,True,True,4
0000057131,"2021,2022,2023,2024",4,True,True,True,True,4
0000057183,"2021,2022,2023,2024",4,True,True,True,True,4
0000057515,"2021,2022,2023,2024",4,True,True,True,True,4
