term,coef,se,t,p,model,N
C(cik)[T.1393311],-2.522403826128521,3.159481630861248,-0.7983600225714669,0.42466159553502625,OLS_k1_levels,47.0
C(cik)[T.1418819],-1.2925530087380537,1.5547969399262491,-0.8313323595809013,0.40578589884442584,OLS_k1_levels,47.0
C(cik)[T.1436126],0.6322183282868007,0.33846981659688224,1.8678721034666825,0.06177990013123217,OLS_k1_levels,47.0
C(cik)[T.1438533],-1.7300827614621466,1.5757283188235247,-1.097957522749776,0.2722230379515921,OLS_k1_levels,47.0
C(cik)[T.1439095],-1.142332402057815,1.1819995910380714,-0.9664406068487559,0.3338237531064582,OLS_k1_levels,47.0
C(year)[T.2022],0.10514182149055434,0.04779153905654769,2.200009113875762,0.027806248411415935,OLS_k1_levels,47.0
C(year)[T.2023],0.01059451736480685,0.09567085179584306,0.1107392394437444,0.9118231287508527,OLS_k1_levels,47.0
n_A,-0.15469505642607273,0.04487101264381936,-3.447549928369642,0.0005656958389524714,OLS_k1_levels,47.0
n_S,-5.558565094443091e-15,3.9930327111668835e-15,-1.3920660050938356,0.16390241134364036,OLS_k1_levels,47.0
log_docs,-0.1418143828263918,0.08026324851052166,-1.7668657256976266,0.07725071822852643,OLS_k1_levels,47.0
ln_assets,0.6482757935438122,0.8748806771828903,0.7409876688913232,0.45870091706390403,OLS_k1_levels,47.0
leverage,-0.21609598699523802,0.4960133021461629,-0.4356657090852774,0.6630792886049353,OLS_k1_levels,47.0
cash,1.4965438476544755,2.063982555745192,0.7250758217353998,0.4684055164106524,OLS_k1_levels,47.0
rd_intensity,-0.11805684891050738,0.7157775121816383,-0.16493511866652336,0.8689950502289427,OLS_k1_levels,47.0
capx_at,-13.85675100026149,4.092698762970023,-3.3857246288524325,0.0007099058178646561,OLS_k1_levels,47.0
roa,-0.4767664164461194,0.6463052347163205,-0.7376799549757385,0.46070895579244187,OLS_k1_levels,47.0
sales_growth,0.015314942781121083,0.029734973137570012,0.515048145840452,0.606519376550567,OLS_k1_levels,47.0
emp,-0.032221488640401766,0.06241708878079951,-0.5162286365767448,0.6056947318408356,OLS_k1_levels,47.0
Intercept,0.02218397288887962,,,,OLS_k1_shares,3.0
C(cik)[T.1436126],-0.3446927954245979,,,,OLS_k1_shares,3.0
C(year)[T.2023],-0.23365160431878704,,,,OLS_k1_shares,3.0
ActShare,-0.34469279542459735,,,,OLS_k1_shares,3.0
SpecShare,0.0,-0.0,,,OLS_k1_shares,3.0
log_docs,0.12991545427003667,,,,OLS_k1_shares,3.0
ln_assets,0.45654958697853304,,,,OLS_k1_shares,3.0
leverage,-0.028314695145146958,,,,OLS_k1_shares,3.0
cash,0.02259075598770543,,,,OLS_k1_shares,3.0
rd_intensity,0.026645313169410285,,,,OLS_k1_shares,3.0
capx_at,-0.009180623038359054,,,,OLS_k1_shares,3.0
roa,0.04316297723562135,,,,OLS_k1_shares,3.0
sales_growth,0.02954111166774237,,,,OLS_k1_shares,3.0
emp,-0.4370814436043825,,,,OLS_k1_shares,3.0
Intercept,-3.5782301838125887,5.330622914738985,-0.6712592957792809,0.5020553603003413,OLS_k1_logcounts,47.0
C(cik)[T.59255],-1.499435015885451,1.6939083524230922,-0.8851925275299268,0.3760528018639925,OLS_k1_logcounts,47.0
C(cik)[T.61004],0.15525104508449417,1.8527011538222329,0.0837971330477136,0.9332177275006754,OLS_k1_logcounts,47.0
C(cik)[T.109177],-1.3030703899079437,2.2016504016807623,-0.5918607190829055,0.5539438595356866,OLS_k1_logcounts,47.0
C(cik)[T.315545],1.3821966113434634,4.015079581291311,0.3442513612392529,0.7306572593477485,OLS_k1_logcounts,47.0
C(cik)[T.790051],-1.5086981016328922,2.3645321514652875,-0.6380535365941039,0.5234388307213566,OLS_k1_logcounts,47.0
C(cik)[T.824142],0.8342837178710112,0.15667964118244393,5.324774243639851,1.0107849670893835e-07,OLS_k1_logcounts,47.0
C(cik)[T.885639],2.0829927142770224,6.612605734284863,0.3150033130626822,0.752759138372448,OLS_k1_logcounts,47.0
C(cik)[T.895417],-1.7704753233303867,2.1178164267479693,-0.8359909296052892,0.40316000580930866,OLS_k1_logcounts,47.0
C(cik)[T.1076930],1.3963611966742762,0.8711293658851643,1.6029320688270197,0.10894965264462582,OLS_k1_logcounts,47.0
C(cik)[T.1086222],2.1278982355896154,2.456995501363862,0.8660570336447231,0.3864588859049485,OLS_k1_logcounts,47.0
C(cik)[T.1117480],-1.3296772457274288,1.412687435708532,-0.9412395212961815,0.3465821278365918,OLS_k1_logcounts,47.0
C(cik)[T.1393311],-2.5224038261282993,3.1594816308613636,-0.7983600225713675,0.42466159553508376,OLS_k1_logcounts,47.0
C(cik)[T.1418819],-1.292553008737928,1.5547969399262853,-0.8313323595808012,0.40578589884448235,OLS_k1_logcounts,47.0
C(cik)[T.1436126],0.6322183282868348,0.3384698165968777,1.8678721034668084,0.06177990013121463,OLS_k1_logcounts,47.0
C(cik)[T.1438533],-1.7300827614620617,1.575728318823546,-1.0979575227497074,0.27222303795162206,OLS_k1_logcounts,47.0
C(cik)[T.1439095],-1.1423324020577255,1.181999591038103,-0.9664406068486544,0.3338237531065089,OLS_k1_logcounts,47.0
C(year)[T.2022],0.10514182149054932,0.04779153905654775,2.200009113875654,0.027806248411423585,OLS_k1_logcounts,47.0
C(year)[T.2023],0.01059451736481204,0.09567085179584194,0.11073923944379996,0.9118231287508086,OLS_k1_logcounts,47.0
log_n_A,-0.2816190170485269,0.0816867116937502,-3.44754992836948,0.0005656958389528106,OLS_k1_logcounts,47.0
log_n_S,-9.939843693687238e-15,5.6808648615463225e-15,-1.7497060634147223,0.08016904689504284,OLS_k1_logcounts,47.0
log_docs,-0.14181438282640058,0.08026324851052125,-1.7668657256977451,0.07725071822850653,OLS_k1_logcounts,47.0
ln_assets,0.6482757935437604,0.8748806771829316,0.7409876688912291,0.4587009170639612,OLS_k1_logcounts,47.0
leverage,-0.21609598699528698,0.4960133021461591,-0.4356657090853795,0.6630792886048613,OLS_k1_logcounts,47.0
cash,1.496543847654447,2.0639825557452327,0.7250758217353716,0.46840551641066974,OLS_k1_logcounts,47.0
rd_intensity,-0.1180568489105811,0.7157775121816449,-0.16493511866662483,0.8689950502288629,OLS_k1_logcounts,47.0
capx_at,-13.8567510002615,4.092698762970034,-3.3857246288524254,0.0007099058178646741,OLS_k1_logcounts,47.0
roa,-0.47676641644614826,0.6463052347163653,-0.737679954975732,0.46070895579244586,OLS_k1_logcounts,47.0
sales_growth,0.015314942781122609,0.029734973137570897,0.515048145840488,0.6065193765505419,OLS_k1_logcounts,47.0
emp,-0.03222148864040211,0.06241708878079945,-0.5162286365767509,0.6056947318408313,OLS_k1_logcounts,47.0
Intercept,-3.5782301838127744,5.330622914738856,-0.671259295779332,0.5020553603003087,OLS_k1_dummies,47.0
C(cik)[T.59255],-1.4994350158855239,1.69390835242307,-0.8851925275299815,0.37605280186396306,OLS_k1_dummies,47.0
C(cik)[T.61004],0.15525104508454524,1.8527011538221674,0.08379713304774414,0.9332177275006511,OLS_k1_dummies,47.0
C(cik)[T.109177],-1.303070389908048,2.2016504016807454,-0.5918607190829575,0.5539438595356518,OLS_k1_dummies,47.0
C(cik)[T.315545],1.3821966113436632,4.015079581291233,0.3442513612393094,0.7306572593477059,OLS_k1_dummies,47.0
C(cik)[T.790051],-1.508698101632994,2.3645321514652613,-0.6380535365941541,0.5234388307213238,OLS_k1_dummies,47.0
C(cik)[T.824142],0.8342837178710014,0.15667964118245944,5.324774243639261,1.0107849670926633e-07,OLS_k1_dummies,47.0
C(cik)[T.885639],2.082992714277043,6.6126057342848314,0.3150033130626868,0.7527591383724446,OLS_k1_dummies,47.0
C(cik)[T.895417],-1.7704753233305053,2.1178164267479467,-0.8359909296053541,0.403160005809272,OLS_k1_dummies,47.0
C(cik)[T.1076930],1.3963611966742115,0.8711293658851712,1.6029320688269328,0.10894965264464505,OLS_k1_dummies,47.0
C(cik)[T.1086222],2.127898235589521,2.4569955013638376,0.8660570336446932,0.3864588859049648,OLS_k1_dummies,47.0
C(cik)[T.1117480],-1.3296772457274164,1.4126874357085195,-0.941239521296181,0.34658212783659204,OLS_k1_dummies,47.0
C(cik)[T.1393311],-2.5224038261284516,3.1594816308613143,-0.7983600225714281,0.4246615955350487,OLS_k1_dummies,47.0
C(cik)[T.1418819],-1.2925530087380157,1.5547969399262733,-0.831332359580864,0.40578589884444694,OLS_k1_dummies,47.0
C(cik)[T.1436126],0.6322183282868161,0.33846981659687897,1.8678721034667463,0.061779900131223295,OLS_k1_dummies,47.0
C(cik)[T.1438533],-1.730082761462111,1.5757283188235511,-1.0979575227497351,0.27222303795160985,OLS_k1_dummies,47.0
C(cik)[T.1439095],-1.1423324020577965,1.1819995910380874,-0.9664406068487271,0.3338237531064726,OLS_k1_dummies,47.0
C(year)[T.2022],0.10514182149054946,0.047791539056547275,2.2000091138756788,0.027806248411421826,OLS_k1_dummies,47.0
C(year)[T.2023],0.010594517364811235,0.09567085179584323,0.11073923944379005,0.9118231287508165,OLS_k1_dummies,47.0
has_actionable,-0.3093901128521457,0.08974202528764273,-3.44754992836949,0.0005656958389527882,OLS_k1_dummies,47.0
has_spec_only,-1.496297833705275e-14,1.8234774172487908e-14,-0.8205738220563462,0.4118890638394044,OLS_k1_dummies,47.0
log_docs,-0.1418143828263948,0.08026324851052581,-1.7668657256975726,0.07725071822853549,OLS_k1_dummies,47.0
ln_assets,0.6482757935437944,0.8748806771829114,0.7409876688912851,0.45870091706392724,OLS_k1_dummies,47.0
